
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T°tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                   782:40:45 N/D                                                                     
brave.exe                     6216 Console                    2    15.896 KB Unknown         V÷CTOR\missi                                            0:00:20 N/D                                                                     
LockApp.exe                   8504 Console                    2    38.964 KB Running         V÷CTOR\missi                                            0:00:02 Pantalla de bloqueo predeterminada de Windows                           
svchost.exe                  22840 Services                   0     1.168 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                  20232 Services                   0     4.248 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
brave.exe                    22088 Console                    2    14.932 KB Unknown         V÷CTOR\missi                                            0:00:01 N/D                                                                     
StartMenuExperienceHost.e    20996 Console                    2    49.372 KB Running         V÷CTOR\missi                                            0:00:01 Inicio                                                                  
Antigravity IDE.exe          21268 Console                    2   147.044 KB Running         V÷CTOR\missi                                            0:01:05 PORTALMEDICO_CLIENTEWEB - Antigravity IDE - farmaciaData.ts             
Antigravity IDE.exe          11420 Console                    2     3.376 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
Antigravity IDE.exe          12196 Console                    2   162.004 KB Running         V÷CTOR\missi                                            0:03:51 N/D                                                                     
Antigravity IDE.exe          11360 Console                    2    20.264 KB Running         V÷CTOR\missi                                            0:00:01 OleMainThreadWndName                                                    
Antigravity IDE.exe          10592 Console                    2   453.468 KB Unknown         V÷CTOR\missi                                            0:09:42 N/D                                                                     
language_server_windows_x     9000 Console                    2   190.832 KB Unknown         V÷CTOR\missi                                            0:01:04 N/D                                                                     
conhost.exe                  15656 Console                    2     1.780 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
Antigravity IDE.exe          12408 Console                    2    28.952 KB Unknown         V÷CTOR\missi                                            0:00:01 N/D                                                                     
cmd.exe                      10064 Console                    2     1.744 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
node.exe                     10156 Console                    2     2.800 KB Unknown         V÷CTOR\missi                                            0:00:01 N/D                                                                     
